Date,Price,Open,High,Low,Vol.,Change %
06-08-2015,"1,569.88","1,592.50","1,592.50","1,548.00",449.87K,-0.52%
07-08-2015,"1,601.35","1,572.75","1,613.83","1,572.75",673.76K,2.00%
10-08-2015,"1,657.03","1,604.75","1,672.50","1,603.97",1.29M,3.48%
11-08-2015,"1,683.45","1,672.50","1,692.50","1,655.00",888.33K,1.59%
12-08-2015,"1,660.42","1,683.50","1,692.20","1,650.00",613.02K,-1.37%
13-08-2015,"1,699.42","1,670.00","1,717.10","1,665.05",720.14K,2.35%
14-08-2015,"1,671.88","1,672.50","1,691.05","1,635.95",705.27K,-1.62%
17-08-2015,"1,648.12","1,668.45","1,668.45","1,642.62",365.49K,-1.42%
18-08-2015,"1,658.25","1,659.95","1,669.90","1,648.00",186.53K,0.61%
19-08-2015,"1,646.78","1,662.50","1,674.20","1,643.15",206.31K,-0.69%
20-08-2015,"1,612.20","1,636.00","1,651.65","1,607.50",276.58K,-2.10%
21-08-2015,"1,599.67","1,605.00","1,608.45","1,562.50",327.22K,-0.78%
24-08-2015,"1,501.12","1,574.50","1,574.50","1,471.00",818.78K,-6.16%
25-08-2015,"1,488.45","1,503.00","1,524.47","1,395.00",833.04K,-0.84%
26-08-2015,"1,440.35","1,487.55","1,517.08","1,430.05",525.87K,-3.23%
27-08-2015,"1,471.15","1,465.00","1,499.50","1,445.25",659.92K,2.14%
28-08-2015,"1,486.90","1,483.00","1,525.00","1,475.00",501.44K,1.07%
31-08-2015,"1,464.97","1,489.50","1,491.10","1,451.25",247.43K,-1.47%
01-09-2015,"1,460.45","1,450.00","1,485.00","1,440.00",438.40K,-0.31%
02-09-2015,"1,491.62","1,474.00","1,507.50","1,462.92",434.29K,2.13%
03-09-2015,"1,504.03","1,519.50","1,541.20","1,498.00",560.86K,0.83%
04-09-2015,"1,494.12","1,501.50","1,508.45","1,470.38",289.08K,-0.66%
07-09-2015,"1,448.70","1,495.00","1,505.60","1,444.00",263.13K,-3.04%
08-09-2015,"1,421.65","1,448.75","1,467.70","1,382.50",396.49K,-1.87%
09-09-2015,"1,439.97","1,450.00","1,457.20","1,422.50",282.11K,1.29%
10-09-2015,"1,432.20","1,435.00","1,448.00","1,400.00",270.60K,-0.54%
11-09-2015,"1,476.92","1,444.35","1,488.25","1,435.40",325.90K,3.12%
14-09-2015,"1,495.62","1,487.50","1,513.35","1,480.00",327.42K,1.27%
15-09-2015,"1,539.60","1,500.00","1,543.00","1,500.00",538.53K,2.94%
16-09-2015,"1,505.72","1,550.95","1,572.50","1,499.12",567.27K,-2.20%
18-09-2015,"1,498.95","1,524.33","1,525.00","1,494.50",307.56K,-0.45%
21-09-2015,"1,497.80","1,499.50","1,506.00","1,476.00",212.30K,-0.08%
22-09-2015,"1,450.25","1,511.75","1,515.25","1,440.50",465.83K,-3.17%
23-09-2015,"1,442.85","1,441.47","1,459.05","1,425.00",368.81K,-0.51%
24-09-2015,"1,444.45","1,445.00","1,459.90","1,432.50",445.43K,0.11%
28-09-2015,"1,460.53","1,447.00","1,475.00","1,442.80",253.70K,1.11%
29-09-2015,"1,485.40","1,447.00","1,491.90","1,425.05",389.16K,1.70%
30-09-2015,"1,541.00","1,499.50","1,557.00","1,492.50",611.13K,3.74%
01-10-2015,"1,561.40","1,554.88","1,574.90","1,550.50",481.47K,1.32%
05-10-2015,"1,606.83","1,575.50","1,614.50","1,571.88",642.06K,2.91%
06-10-2015,"1,627.20","1,615.95","1,634.97","1,606.83",379.55K,1.27%
07-10-2015,"1,618.03","1,630.10","1,650.00","1,608.30",339.76K,-0.56%
08-10-2015,"1,633.38","1,619.70","1,641.88","1,605.62",215.53K,0.95%
09-10-2015,"1,612.05","1,640.00","1,648.85","1,605.70",153.02K,-1.31%
12-10-2015,"1,585.22","1,625.00","1,629.00","1,578.33",218.73K,-1.66%
